index,param,value
416,map,10
416,traffic_density,10
416,side_detector_distance,0
419,map,10
419,traffic_density,10
419,side_detector_distance,0
425,map,10
425,traffic_density,6
425,side_detector_distance,0
426,map,10
426,traffic_density,10
426,side_detector_distance,0
429,map,10
429,traffic_density,6
429,side_detector_distance,0
432,map,10
432,traffic_density,10
432,side_detector_distance,0
434,map,10
434,traffic_density,10
434,side_detector_distance,0
438,map,10
438,traffic_density,10
438,side_detector_distance,0
441,map,10
441,traffic_density,10
441,side_detector_distance,0
442,map,10
442,traffic_density,10
442,side_detector_distance,0
443,map,10
443,traffic_density,5
443,side_detector_distance,0
447,map,10
447,traffic_density,10
447,side_detector_distance,0
448,map,10
448,traffic_density,10
448,side_detector_distance,0
449,map,10
449,traffic_density,10
449,side_detector_distance,0
450,map,10
450,traffic_density,10
450,side_detector_distance,0
451,map,10
451,traffic_density,10
451,side_detector_distance,0
452,map,10
452,traffic_density,10
452,side_detector_distance,0
454,map,10
454,traffic_density,5
454,side_detector_distance,0
456,map,10
456,traffic_density,10
456,side_detector_distance,0
457,map,10
457,traffic_density,10
457,side_detector_distance,0
458,map,10
458,traffic_density,10
458,side_detector_distance,0
462,map,10
462,traffic_density,10
462,side_detector_distance,0
467,map,10
467,traffic_density,10
467,side_detector_distance,0
473,map,10
473,traffic_density,10
473,side_detector_distance,0
477,map,10
477,traffic_density,10
477,side_detector_distance,0
479,map,10
479,traffic_density,10
479,side_detector_distance,0
480,map,10
480,traffic_density,10
480,side_detector_distance,0
482,map,10
482,traffic_density,6
482,side_detector_distance,0
483,map,10
483,traffic_density,5
483,side_detector_distance,0
485,map,10
485,traffic_density,10
485,side_detector_distance,0
489,map,10
489,traffic_density,10
489,side_detector_distance,0
490,map,10
490,traffic_density,10
490,side_detector_distance,0
491,map,10
491,traffic_density,10
491,side_detector_distance,0
492,map,10
492,traffic_density,10
492,side_detector_distance,0
493,map,10
493,traffic_density,10
493,side_detector_distance,0
498,map,10
498,traffic_density,10
498,side_detector_distance,0
499,map,10
499,traffic_density,10
499,side_detector_distance,0
501,map,10
501,traffic_density,8
501,side_detector_distance,0
503,map,10
503,traffic_density,10
503,side_detector_distance,0
506,map,10
506,traffic_density,10
506,side_detector_distance,0
512,map,10
512,traffic_density,5
512,side_detector_distance,0
517,map,10
517,traffic_density,8
517,side_detector_distance,0
522,map,10
522,traffic_density,10
522,side_detector_distance,0
524,map,10
524,traffic_density,10
524,side_detector_distance,0
525,map,10
525,traffic_density,10
525,side_detector_distance,0
528,map,10
528,traffic_density,10
528,side_detector_distance,0
531,map,10
531,traffic_density,10
531,side_detector_distance,0
536,map,10
536,traffic_density,10
536,side_detector_distance,0
540,map,10
540,traffic_density,10
540,side_detector_distance,0
542,map,10
542,traffic_density,10
542,side_detector_distance,0
543,map,10
543,traffic_density,10
543,side_detector_distance,0
545,map,10
545,traffic_density,10
545,side_detector_distance,0
546,map,10
546,traffic_density,10
546,side_detector_distance,0
547,map,10
547,traffic_density,10
547,side_detector_distance,0
549,map,10
549,traffic_density,10
549,side_detector_distance,0
552,map,10
552,traffic_density,10
552,side_detector_distance,0
556,map,10
556,traffic_density,9
556,side_detector_distance,0
557,map,10
557,traffic_density,10
557,side_detector_distance,0
563,map,10
563,traffic_density,10
563,side_detector_distance,0
566,map,10
566,traffic_density,10
566,side_detector_distance,0
567,map,10
567,traffic_density,10
567,side_detector_distance,0
568,map,10
568,traffic_density,10
568,side_detector_distance,0
569,map,10
569,traffic_density,10
569,side_detector_distance,0
570,map,10
570,traffic_density,10
570,side_detector_distance,0
572,map,10
572,traffic_density,10
572,side_detector_distance,0
575,map,10
575,traffic_density,10
575,side_detector_distance,0
577,map,10
577,traffic_density,10
577,side_detector_distance,0
579,map,10
579,traffic_density,10
579,side_detector_distance,0
580,map,10
580,traffic_density,10
580,side_detector_distance,0
581,map,10
581,traffic_density,10
581,side_detector_distance,0
582,map,10
582,traffic_density,10
582,side_detector_distance,0
585,map,10
585,traffic_density,10
585,side_detector_distance,0
586,map,10
586,traffic_density,10
586,side_detector_distance,0
588,map,10
588,traffic_density,6
588,side_detector_distance,0
590,map,10
590,traffic_density,10
590,side_detector_distance,0
601,map,10
601,traffic_density,10
601,side_detector_distance,0
605,map,10
605,traffic_density,6
605,side_detector_distance,0
607,map,10
607,traffic_density,10
607,side_detector_distance,0
611,map,10
611,traffic_density,10
611,side_detector_distance,0
615,map,10
615,traffic_density,10
615,side_detector_distance,0
618,map,10
618,traffic_density,6
618,side_detector_distance,0
620,map,10
620,traffic_density,10
620,side_detector_distance,0
622,map,10
622,traffic_density,10
622,side_detector_distance,0
623,map,10
623,traffic_density,10
623,side_detector_distance,0
624,map,10
624,traffic_density,10
624,side_detector_distance,0
626,map,10
626,traffic_density,10
626,side_detector_distance,0
630,map,10
630,traffic_density,10
630,side_detector_distance,0
631,map,10
631,traffic_density,10
631,side_detector_distance,0
634,map,10
