index,param,value
1522,side_detector_distance,0
1523,map,10
1523,traffic_density,10
1523,side_detector_distance,0
1524,map,10
1524,traffic_density,10
1524,side_detector_distance,0
1527,map,10
1527,traffic_density,10
1527,side_detector_distance,0
1528,map,10
1528,traffic_density,10
1528,side_detector_distance,0
1529,map,10
1529,traffic_density,10
1529,side_detector_distance,0
1530,map,10
1530,traffic_density,10
1530,side_detector_distance,0
1531,map,10
1531,traffic_density,10
1531,side_detector_distance,0
1533,map,10
1533,traffic_density,10
1533,side_detector_distance,0
1537,map,10
1537,traffic_density,10
1537,side_detector_distance,0
1538,map,10
1538,traffic_density,10
1538,side_detector_distance,0
1540,map,10
1540,traffic_density,10
1540,side_detector_distance,0
1547,map,10
1547,traffic_density,10
1547,side_detector_distance,0
1548,map,10
1548,traffic_density,10
1548,side_detector_distance,0
1554,map,10
1554,traffic_density,10
1554,side_detector_distance,0
1555,map,10
1555,traffic_density,10
1555,side_detector_distance,0
1556,map,10
1556,traffic_density,7
1556,side_detector_distance,0
1560,map,10
1560,traffic_density,9
1560,side_detector_distance,0
1563,map,10
1563,traffic_density,10
1563,side_detector_distance,0
1564,map,10
1564,traffic_density,10
1564,side_detector_distance,0
1567,map,10
1567,traffic_density,10
1567,side_detector_distance,0
1569,map,10
1569,traffic_density,10
1569,side_detector_distance,0
1570,map,10
1570,traffic_density,10
1570,side_detector_distance,0
1578,map,10
1578,traffic_density,10
1578,side_detector_distance,0
1580,map,10
1580,traffic_density,10
1580,side_detector_distance,0
1581,map,10
1581,traffic_density,10
1581,side_detector_distance,0
1582,map,10
1582,traffic_density,10
1582,side_detector_distance,0
1583,map,10
1583,traffic_density,8
1583,side_detector_distance,0
1588,map,10
1588,traffic_density,10
1588,side_detector_distance,0
1594,map,10
1594,traffic_density,10
1594,side_detector_distance,0
1596,map,10
1596,traffic_density,10
1596,side_detector_distance,0
1597,map,10
1597,traffic_density,10
1597,side_detector_distance,0
1598,map,10
1598,traffic_density,10
1598,side_detector_distance,0
1600,map,10
1600,traffic_density,10
1600,side_detector_distance,0
1605,map,10
1605,traffic_density,7
1605,side_detector_distance,0
1608,map,10
1608,traffic_density,10
1608,side_detector_distance,0
1609,map,10
1609,traffic_density,8
1609,side_detector_distance,0
1611,map,10
1611,traffic_density,10
1611,side_detector_distance,0
1612,map,10
1612,traffic_density,10
1612,side_detector_distance,0
1614,map,10
1614,traffic_density,10
1614,side_detector_distance,0
1620,map,10
1620,traffic_density,10
1620,side_detector_distance,0
1623,map,10
1623,traffic_density,8
1623,side_detector_distance,0
1624,map,10
1624,traffic_density,10
1624,side_detector_distance,0
1626,map,10
1626,traffic_density,10
1626,side_detector_distance,0
1627,map,10
1627,traffic_density,10
1627,side_detector_distance,0
1629,map,10
1629,traffic_density,10
1629,side_detector_distance,0
1630,map,10
1630,traffic_density,10
1630,side_detector_distance,0
1631,map,10
1631,traffic_density,10
1631,side_detector_distance,0
1632,map,10
1632,traffic_density,10
1632,side_detector_distance,0
1639,map,10
1639,traffic_density,10
1639,side_detector_distance,0
1640,map,10
1640,traffic_density,10
1640,side_detector_distance,0
1642,map,10
1642,traffic_density,10
1642,side_detector_distance,0
1644,map,10
1644,traffic_density,10
1644,side_detector_distance,0
1645,map,10
1645,traffic_density,10
1645,side_detector_distance,0
1648,map,10
1648,traffic_density,10
1648,side_detector_distance,0
1651,map,10
1651,traffic_density,10
1651,side_detector_distance,0
1652,map,10
1652,traffic_density,10
1652,side_detector_distance,0
1653,map,10
1653,traffic_density,6
1653,side_detector_distance,0
1654,map,10
1654,traffic_density,10
1654,side_detector_distance,0
1656,map,10
1656,traffic_density,8
1656,side_detector_distance,0
1657,map,10
1657,traffic_density,10
1657,side_detector_distance,0
1658,map,10
1658,traffic_density,8
1658,side_detector_distance,0
1660,map,10
1660,traffic_density,10
